日付,入院患者数,重症者数
"2020-02-28",21,5
"2020-02-29",21,5
"2020-03-01",23,5
"2020-03-02",23,5
"2020-03-03",22,5
"2020-03-04",26,6
"2020-03-05",32,7
"2020-03-06",37,8
"2020-03-07",43,8
"2020-03-08",43,8
"2020-03-09",40,7
"2020-03-10",43,8
"2020-03-11",49,7
"2020-03-12",51,7
"2020-03-13",53,8
"2020-03-14",63,8
"2020-03-15",66,8
"2020-03-16",66,8
"2020-03-17",70,8
"2020-03-18",79,8
"2020-03-19",85,9
"2020-03-20",95,9
"2020-03-21",101,9
"2020-03-22",103,9
"2020-03-23",119,11
"2020-03-24",135,11
"2020-03-25",176,12
"2020-03-26",223,15
"2020-03-27",254,15
"2020-03-28",315,14
"2020-03-29",382,15
"2020-03-30",394,16
"2020-03-31",465,16
"2020-04-01",531,17
"2020-04-02",628,18
"2020-04-03",704,22
"2020-04-04",815,22
"2020-04-05",951,24
"2020-04-06",1034,27
"2020-04-07",1112,27
"2020-04-08",1251,29
"2020-04-09",1428,30
"2020-04-10",1611,31
"2020-04-11",1810,34
"2020-04-12",1974,37
"2020-04-13",2064,40
"2020-04-14",2219,40
"2020-04-15",2340,42
"2020-04-16",2487,50
"2020-04-17",2679,54
"2020-04-18",2690,55
"2020-04-19",2711,57
"2020-04-20",2507,60
"2020-04-21",2601,61
"2020-04-22",2461,62
"2020-04-23",2548,63
"2020-04-24",2688,63
"2020-04-25",2766,62
"2020-04-26",2814,66
"2020-04-27",2668,93
"2020-04-28",2690,105
"2020-04-29",2718,105
"2020-04-30",2608,101
"2020-05-01",2673,97
"2020-05-02",2783,100
"2020-05-03",2856,97
"2020-05-04",2915,92
"2020-05-05",2950,93
"2020-05-06",2974,91
"2020-05-07",2679,87
"2020-05-08",2503,78
"2020-05-09",2514,83
"2020-05-10",2518,71
"2020-05-11",2509,65
"2020-05-12",1413,56
"2020-05-13",1320,52
"2020-05-14",1199,54
"2020-05-15",1077,53
"2020-05-16",1033,55
"2020-05-17",1024,54
"2020-05-18",935,52
"2020-05-19",831,49
