市No,栃木発表番号
1,3
2,13
3,15
4,16
5,18
6,19
7,21
8,22
9,27
10,28
11,38
12,40
13,55
14,56
15,57
16,58
17,59
18,60
19,61
20,62
21,63
22,64
23,65
24,70
25,71
26,79
27,80
28,81
29,82
30,83
31,84
32,86
33,87
34,88
35,90
36,98
37,107
38,110
39,111
40,112
41,118
42,124
43,132
44,135
45,136
46,139
47,140
48,141
49,142
50,151
51,164
52,165
53,166
54,167
55,168
56,169
57,176
58,177
59,178
60,179
61,180
62,181
63,182
64,183
65,184
66,185
67,189
68,190
69,191
70,195
71,197
72,198
73,199
74,201
75,202
76,206
77,207
78,208
79,209
80,210
81,211
82,212
83,213
84,218
85,219
86,220
87,221
88,222
89,223
90,224
91,228
92,229
93,230
94,236
95,237
96,238
97,242
98,243
99,244
100,245
101,246
102,257
103,258
104,259
105,260
106,261
107,264
108,265
109,273
110,274
111,275
112,276
113,281
114,282
115,284
116,285
117,286
118,288
119,289
120,295
121,301
122,302
123,307
124,409
125,412
126,413
127,426
128,435
129,453
130,459
131,489
132,496
133,497
134,500
135,503
136,504
137,506
138,512
139,513
140,514
141,516
142,517
143,518
144,523
145,524
146,528
147,539
148,540
149,541
150,542
151,543
152,549
153,550
154,552
155,567
156,568
157,569
158,570
159,571
160,572
161,573
162,574
163,581
164,582
165,583
166,584
167,585
168,591
169,592
170,593
171,594
172,595
173,596
174,598
175,599
176,600
177,601
178,602
179,606
180,607
181,608
182,619
183,620
184,632
185,633
186,634
187,635
188,639
189,664
190,665
191,666
192,667
193,668
194,689
195,702
196,703
197,719
198,720
199,731
200,732
201,733
202,750
203,763
204,764
205,765
206,766
207,782
208,783
209,793
210,794
211,795
212,796
213,797
214,798
215,799
216,800
217,801
218,819
219,820
220,821
221,822
222,823
223,824
224,825
225,839
226,840
227,867
228,868
229,869
230,870
231,871
232,872
233,879
234,880
235,881
236,882
237,883
238,884
239,885
240,908
241,909
242,910
243,911
244,912
245,913
246,914
247,915
248,916
249,933
250,934
251,935
252,936
253,937
254,938
255,939
256,964
257,965
258,966
259,967
260,968
261,969
262,983
263,984
264,985
265,986
266,987
267,988
268,989
269,990
270,1022
271,1023
272,1033
273,1034
274,1035
275,1036
276,1037
277,1038
278,1039
279,1040
280,1070
281,1071
282,1072
283,1073
284,1074
285,1099
286,1100
287,1101
288,1102
289,1103
290,1104
291,1105
292,1106
293,1107
294,1121
295,1122
296,1123
297,1124
298,1125
299,1126
300,1127
301,1128
302,1129
303,1130
304,1131
305,1155
306,1156
307,1157
308,1158
309,1159
310,1160
311,1161
312,1162
313,1163
314,1164
315,1165
316,1166
317,1189
318,1190
319,1191
320,1192
321,1193
322,1194
323,1195
324,1196
325,1197
326,1198
327,1199
328,1200
329,1201
330,1202
331,1203
332,1204
333,1205
334,1206
335,1207
336,1208
337,1219
338,1220
339,1221
340,1222
341,1223
342,1224
343,1225
344,1226
345,1227
346,1228
347,1229
348,1230
349,1231
350,1232
351,1233
352,1234
353,1235
354,1236
355,1244
356,1245
357,1246
358,1247
359,1248
360,1249
361,1250
362,1251
363,1252
364,1253
365,1254
366,1255
367,1256
368,1257
369,1258
370,1259
371,1260
372,1261
373,1262
374,1263
375,1264
376,1265
377,1266
378,1267
379,1333
380,1334
381,1335
382,1336
383,1337
384,1338
385,1339
386,1340
387,1341
388,1342
389,1343
390,1344
391,1345
392,1346
393,1347
394,1348
395,1349
396,1350
397,1376
398,1377
399,1378
400,1379
401,1380
402,1381
403,1382
404,1383
405,1384
406,1385
407,1386
408,1387
409,1388
410,1389
411,1390
412,1391
413,1392
414,1393
415,1394
416,1395
417,1396
418,1397
419,1398
420,1399
421,1400
422,1401
423,1402
424,1403
425,1404
426,1405
427,1406
428,1432
429,1433
430,1434
431,1435
432,1436
433,1437
434,1438
435,1439
436,1440
437,1441
438,1442
439,1443
440,1444
441,1445
442,1446
443,1447
444,1448
445,1449
446,1450
447,1451
448,1452
449,1453
450,1454
451,1455
452,1456
453,1457
454,1458
455,1459
456,1460
457,1461
458,1462
459,1463
460,1464
461,1465
462,1466
463,1467
464,1468
465,1469
466,1470
467,1471
468,1472
469,1473
470,1474
471,1475
472,1476
473,1477
474,1478
475,1479
476,1502
477,1503
478,1504
479,1505
480,1506
481,1507
482,1508
483,1509
484,1510
485,1511
486,1512
487,1513
488,1514
489,1515
490,1516
491,1517
492,1518
493,1519
494,1520
495,1521
